|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  1.2647|          |      9.167|  46.368|       -0.913|            |ndRI       |
|  1.2665|   98.7729|      8.722|  45.693|       -1.143|     81.4476|ndRI       |
|  1.2671|          |      8.595|  45.278|       -1.430|            |           |
|  1.2686|          |      8.718|  47.022|        0.191|            |ndRI       |
|  1.2691|          |      8.683|  46.276|       -0.521|            |NC         |
|  1.2725|          |      8.865|  45.818|       -1.161|            |ndRI       |
|  1.2754|          |      9.054|  46.457|       -0.711|            |ndRI       |
|  1.2759|          |      9.289|  46.550|       -0.853|            |ndRI       |
|  1.2772|          |      8.167|  46.485|        0.204|            |NC         |
|  1.2791|  684.6645|      9.171|  47.052|       -0.233|    566.1315|RL         |
|  1.2794|          |      8.643|  45.261|       -1.496|            |NC         |
|  1.2797|          |      9.271|  46.113|       -1.271|            |ndRI       |
|  1.2819|          |      9.014|  46.594|       -0.535|            |ndRI       |
|  1.2846|          |      8.769|  46.209|       -0.673|            |NC         |
|  1.2848|          |      9.582|  45.997|       -1.698|            |ndRI       |
|  1.2855|          |      8.725|  46.413|       -0.426|            |NC         |
